Item,Area,Year,AreaHarvested,Production,Yield,Price,ExportQuantity,ExportValue,ImportQuantity,ImportValue,RuralPopulation,UrbanPopulation,TotalPopulation,GrossNationalIncome
Rice,Cambodia,1969,1944000.00,2503000.00,12876.00,,90601.00,11485.00,,,5876.29,1002.90,6679.71,
Rice,Cambodia,1970,2399000.00,3814000.00,15898.00,,177688.00,16100.00,1053.00,97.00,5877.77,1117.08,6708.53,107.59
Rice,Cambodia,1971,1880000.00,2732000.00,14532.00,,31108.00,1845.00,17643.00,1840.00,5801.79,1335.96,6696.32,107.60
Rice,Cambodia,1972,1399000.00,1927000.00,13774.00,,8199.00,438.00,58096.00,11303.00,5707.41,1592.74,6766.29,105.05
Rice,Cambodia,1973,811000.00,1050000.00,12947.00,,,,105354.00,25463.00,5565.88,1881.41,6852.36,88.68
Rice,Cambodia,1974,555000.00,635000.00,11441.00,,,,200000.00,70000.00,5343.13,2188.29,6913.41,90.80
Rice,Cambodia,1975,900000.00,1080000.00,12000.00,,,,80000.00,35000.00,7185.78,336.81,6727.92,100.57
Rice,Cambodia,1976,1000000.00,1100000.00,11000.00,,,,,,7046.09,356.79,6307.12,113.18
Rice,Cambodia,1977,1000000.00,1000000.00,10000.00,,,,,,6821.22,373.06,6040.20,107.10
Rice,Cambodia,1978,1000000.00,1000000.00,10000.00,,,,,,6567.57,388.00,5961.19,116.16
Rice,Cambodia,1979,774000.00,538000.00,6951.00,,,,200000.00,60000.00,6362.68,406.04,6051.81,108.01
Rice,Cambodia,1980,1440000.00,1717000.00,11924.00,,,,138500.00,45700.00,6029.73,662.38,6198.96,108.46
Rice,Cambodia,1981,1317000.00,1490000.00,11314.00,,26420.00,9250.00,131600.00,46000.00,5888.34,859.85,6364.47,115.68
Rice,Cambodia,1982,1615000.00,1949000.00,12068.00,,,,145400.00,44000.00,6016.62,901.49,6619.70,118.09
Rice,Cambodia,1983,1612000.00,2039000.00,12649.00,,,,71500.00,20000.00,6213.05,955.18,6881.96,123.27
Rice,Cambodia,1984,978000.00,1260000.00,12883.00,,1000.00,264.00,100000.00,30000.00,6431.45,1014.57,7133.90,129.30
Rice,Cambodia,1985,1450000.00,1812000.00,12497.00,,3935.00,1040.00,55000.00,16000.00,6638.49,1074.49,7376.09,135.01
Rice,Cambodia,1986,1520000.00,2093000.00,13770.00,,,,80000.00,22000.00,6825.44,1133.54,7661.32,137.63
Rice,Cambodia,1987,1370000.00,1815000.00,13248.00,,,,80000.00,20000.00,7002.74,1193.30,7975.60,164.75
Rice,Cambodia,1988,1825000.00,2500000.00,13699.00,,,,105000.00,31000.00,7178.60,1255.20,8269.78,190.94
Rice,Cambodia,1989,1861000.00,2672000.00,14358.00,,,,38400.00,12300.00,7367.41,1321.74,8570.93,190.99
Rice,Cambodia,1990,1855000.00,2500000.00,13477.00,,,,25800.00,8000.00,7578.33,1395.02,8910.81,179.53
Rice,Cambodia,1991,1719000.00,2400000.00,13962.00,,,,20000.00,6300.00,7811.55,1475.43,9259.36,227.48
Rice,Cambodia,1992,1685400.00,2221000.00,13178.00,87.00,,,81000.00,22000.00,8059.51,1562.00,9718.22,231.62
Rice,Cambodia,1993,1823625.00,2383350.00,13069.00,130.00,,,84000.00,25000.00,8314.85,1653.43,10243.55,225.65
Rice,Cambodia,1994,1494600.00,2223500.00,14877.00,149.00,,,51000.00,14500.00,8567.33,1748.04,10636.35,231.62
Rice,Cambodia,1995,1924000.00,3447800.00,17920.00,212.00,,,81000.00,24500.00,8809.30,1844.26,10919.53,288.16
Rice,Cambodia,1996,1879000.00,3404000.00,18116.00,179.00,5625.00,925.00,25966.00,7566.00,9038.61,1941.66,11182.61,305.96
Rice,Cambodia,1997,1928689.00,3414917.00,17706.00,173.00,3600.00,950.00,27600.00,2800.00,9255.81,2040.07,11431.57,297.75
Rice,Cambodia,1998,1962566.00,3509871.00,17884.00,158.00,700.00,173.00,62020.00,12438.00,9468.96,2128.78,11669.08,235.78
Rice,Cambodia,1999,2079442.00,4040900.00,19433.00,110.00,3439.00,666.00,53731.00,11783.00,9688.68,2194.96,11899.01,256.52
Rice,Cambodia,2000,1903159.00,4026092.00,21155.00,96.00,6372.00,947.00,62550.00,11414.00,9893.67,2258.69,12118.84,259.08
Rice,Cambodia,2001,1980295.00,4099016.00,20699.00,105.00,7020.00,2386.00,45963.00,5884.00,10082.88,2319.59,12338.19,277.48
Rice,Cambodia,2002,1994645.00,3822509.00,19164.00,120.00,3846.00,1691.00,68741.00,11031.00,10256.92,2377.81,12561.78,288.90
Rice,Cambodia,2003,2242036.00,4710957.00,21012.00,105.00,2283.00,639.00,62164.00,8010.00,10419.11,2434.02,12787.71,309.74
Rice,Cambodia,2004,2109050.00,4170284.00,19773.00,134.00,5177.00,1924.00,75641.00,12750.00,10574.10,2489.28,13016.37,347.36
Rice,Cambodia,2005,2414500.00,5986200.00,24793.00,147.00,2318.00,956.00,40209.00,7235.00,10725.79,2544.41,13246.58,406.71
Rice,Cambodia,2006,2516415.00,6264123.00,24893.00,137.00,5230.00,2534.00,32921.00,7342.00,10874.84,2599.65,13477.78,464.82
Rice,Cambodia,2007,2566000.00,6727000.00,26216.00,178.00,2977.00,1493.00,48895.00,14298.00,11021.65,2655.04,13714.79,606.19
Rice,Cambodia,2008,2613363.00,7175473.00,27457.00,248.00,5536.00,3147.00,27600.00,7700.00,11163.90,2716.61,13943.89,711.87
Rice,Cambodia,2009,2674603.00,7585870.00,28363.00,215.00,17219.00,11493.00,19794.00,7188.00,11282.04,2808.17,14155.74,702.98
Rice,Cambodia,2010,2776507.00,8245320.00,29697.00,244.00,51178.00,34894.00,70987.00,55913.00,11404.93,2903.81,14363.53,746.86
Rice,Cambodia,2011,2968529.00,8779000.00,29574.00,268.00,174045.00,107917.00,19324.00,7617.00,11533.95,3003.94,14573.89,839.14
Rice,Cambodia,2012,3007545.00,9290940.00,30892.00,268.00,196618.00,140596.00,115887.00,16046.00,11668.22,3108.64,14786.64,900.11
Rice,Cambodia,2013,2969000.00,9390000.00,31627.00,,361246.00,259968.00,41084.00,6032.00,11805.51,3217.18,14999.68,985.85
Rice,Cambodia,2014,3029000.00,9324000.00,30782.00,,347231.00,231485.00,23848.00,8167.00,11941.88,3328.91,15210.82,1045.10
Rice,Cambodia,2015,3026000.00,9335000.00,30849.00,,465703.00,284905.00,67552.00,10995.00,12074.60,3443.04,15417.52,1099.06
Rice,Cambodia,2016,3100000.00,9952000.00,32103.00,,529888.00,305886.00,26621.00,9677.00,12202.91,3559.46,15624.58,1202.48
Rice,Cambodia,2017,3190000.00,10518000.00,32972.00,,578740.00,341217.00,9771.00,3837.00,12327.34,3678.04,15830.69,1313.92
Rice,Cambodia,2018,3248000.00,10892000.00,33534.00,,637755.00,410747.00,27123.00,10912.00,12446.21,3799.52,16025.24,1429.94
Rice,Cambodia,2019,3264000.00,10885700.00,33351.00,,554969.00,421108.00,22879.00,9261.00,12558.95,3923.70,16207.75,1575.40
Rice,Cambodia,2020,3269000.00,10936000.00,33454.00,,653052.00,470665.00,16827.00,7114.00,12665.05,4050.46,16396.86,1482.21
Rice,Cambodia,2021,3498000.00,12207000.00,34897.00,,635576.00,423207.00,9991.00,5124.00,12764.03,4179.68,16589.02,1522.52
Rice,Cambodia,2022,3303000.00,11624000.00,35192.00,,641175.00,415995.00,6822.00,3483.00,,,,
Rice,Cambodia,2023,,,,,,,,,,,,
Rice,Indonesia,1961,6857000.00,12084000.00,17623.00,,,,1063760.00,110740.00,76779.14,13359.09,90816.94,
Rice,Indonesia,1962,7283000.00,13004000.00,17855.00,,,,1096047.00,125830.00,78620.25,13937.75,93345.49,
Rice,Indonesia,1963,6731000.00,11595000.00,17226.00,,,,1075310.00,111190.00,80513.18,14542.49,95962.53,
Rice,Indonesia,1964,6980000.00,12306000.00,17630.00,,,,1024451.00,125620.00,82462.23,15175.80,98675.06,
Rice,Indonesia,1965,7327000.00,12975000.00,17708.00,,10.00,10.00,193000.00,23200.00,84470.72,15838.17,,
Rice,Indonesia,1966,7691000.00,13650000.00,17748.00,,,,306000.00,39000.00,86535.98,16531.38,,
Rice,Indonesia,1967,7516000.00,13222000.00,17592.00,,,,346600.00,52000.00,88652.36,17255.04,,
Rice,Indonesia,1968,8020770.00,17162800.00,21398.00,,,,485900.00,96400.00,90812.33,18009.24,,
Rice,Indonesia,1969,8013620.00,18020200.00,22487.00,,,,604600.00,114300.00,93008.07,18792.02,,88.43
Rice,Indonesia,1970,8135080.00,19331000.00,23763.00,,,,956130.00,153500.00,95230.82,19603.96,,90.07
Rice,Indonesia,1971,8324320.00,20190000.00,24254.00,,,,506000.00,120000.00,97477.20,20444.80,,101.59
Rice,Indonesia,1972,7897640.00,19393600.00,24556.00,,,,734300.00,155000.00,99536.94,21522.57,,145.74
Rice,Indonesia,1973,8403600.00,21489500.00,25572.00,,,,1862691.00,381574.00,,22711.43,,222.84
Rice,Indonesia,1974,8508600.00,22473008.00,26412.00,,,,1132073.00,374153.00,,23954.57,,257.24
Rice,Indonesia,1975,8495100.00,22339200.00,26297.00,,405.00,139.00,691777.00,326488.00,,25252.10,,311.08
Rice,Indonesia,1976,8368760.00,23300944.00,27843.00,,,,1301185.00,450086.00,,26605.07,,371.36
Rice,Indonesia,1977,8359570.00,23347136.00,27929.00,,,,1973355.00,678004.00,,28011.50,,405.65
Rice,Indonesia,1978,8929170.00,25771600.00,28862.00,,5.00,5.00,1841580.00,591505.00,,29477.47,,392.63
Rice,Indonesia,1979,8803564.00,26282656.00,29855.00,,,,1922028.00,596303.00,,31006.17,,541.84
Rice,Indonesia,1980,9005065.00,29651904.00,32928.00,,10003.00,3043.00,2011713.00,690424.00,,32601.81,,679.67
Rice,Indonesia,1981,9381839.00,32774176.00,34934.00,,,,538276.00,206386.00,,34446.44,,682.90
Rice,Indonesia,1982,8988455.00,33583696.00,37363.00,,,,309641.00,103144.00,,36472.43,,596.74
Rice,Indonesia,1983,9162469.00,35303008.00,38530.00,,,,1168483.00,384029.00,,38586.37,,596.41
Rice,Indonesia,1984,9763580.00,38136448.00,39060.00,,,,414332.00,132064.00,,40782.65,,585.75
Rice,Indonesia,1985,9902293.00,39032944.00,39418.00,,258712.00,69013.00,33825.00,8807.00,,43049.41,,526.21
Rice,Indonesia,1986,9988453.00,39726768.00,39773.00,,133812.00,29187.00,27765.00,5944.00,,45389.07,,485.76
Rice,Indonesia,1987,9922594.00,40078192.00,40391.00,,32725.00,10979.00,54983.00,12312.00,,47800.46,,558.61
Rice,Indonesia,1988,10138155.00,41676176.00,41108.00,,,,32730.00,8646.00,,50287.60,,627.55
Rice,Indonesia,1989,10531207.00,44725584.00,42470.00,,105490.00,12407.00,268197.00,75919.00,,52847.99,,694.83
Rice,Indonesia,1990,10502357.00,45178752.00,43018.00,,1911.00,175.00,49386.00,14132.00,,55491.34,,766.40
Rice,Indonesia,1991,10281519.00,44688240.00,43465.00,162.00,643.00,36.00,170971.00,53064.00,,58363.49,,817.11
Rice,Indonesia,1992,11103317.00,48240008.00,43446.00,162.00,42482.00,8490.00,609557.00,172611.00,,61405.17,,918.74
Rice,Indonesia,1993,11012780.00,48181088.00,43750.00,147.00,350606.00,57844.00,23777.00,7196.00,,64533.48,,1023.55
Rice,Indonesia,1994,10733800.00,46641500.00,43453.00,181.00,169141.00,27879.00,629861.00,157323.00,,67751.85,,1147.56
Rice,Indonesia,1995,11438760.00,49744140.00,43487.00,208.00,5.00,6.00,3154914.00,885239.00,,71053.58,,1273.54
Rice,Indonesia,1996,11569729.00,51101504.00,44168.00,206.00,197.00,138.00,2147784.00,766316.00,,74438.56,,1186.24
Rice,Indonesia,1997,11140594.00,49377056.00,44322.00,186.00,63.00,67.00,329313.00,108932.00,,77898.29,,502.19
Rice,Indonesia,1998,11730200.00,49236700.00,41974.00,94.00,1791.00,1300.00,2891676.00,861123.00,,81448.67,,710.44
Rice,Indonesia,1999,11963204.00,50866388.00,42519.00,155.00,2442.00,1447.00,4671223.00,1327460.00,,85096.65,,753.92
Rice,Indonesia,2000,11793000.00,51898000.00,44007.00,127.00,1119.00,306.00,1338988.00,319130.00,,88851.49,,745.38
Rice,Indonesia,2001,11500000.00,50460800.00,43879.00,112.00,3790.00,793.00,639537.00,134912.00,,91771.69,,903.24
Rice,Indonesia,2002,11521166.00,51489696.00,44691.00,134.00,3891.00,1130.00,1790323.00,342527.00,,94763.87,,1060.00
Rice,Indonesia,2003,11477357.00,52137600.00,45426.00,141.00,668.00,320.00,1613421.00,332818.00,,97826.13,,1136.09
Rice,Indonesia,2004,11922974.00,54088468.00,45365.00,176.00,888.00,456.00,388429.00,102572.00,,,,1245.03
Rice,Indonesia,2005,11839060.00,54151096.00,45739.00,210.00,42285.00,8657.00,188945.00,51498.00,,,,1577.28
Rice,Indonesia,2006,11786430.00,54454936.00,46201.00,232.00,940.00,531.00,455850.00,132621.00,,,,1848.42
Rice,Indonesia,2007,11748000.00,54591000.00,46468.00,277.00,1186.00,472.00,1403331.00,467720.00,,,,2166.37
Rice,Indonesia,2008,11728000.00,57661000.00,49165.00,280.00,1840.00,865.00,288359.00,124143.00,,,,2263.31
Rice,Indonesia,2009,11778000.00,59014000.00,50105.00,208.00,2395.00,1814.00,248454.00,108153.00,,,,2958.85
Rice,Indonesia,2010,11797000.00,59283000.00,50253.00,299.00,345.00,452.00,685768.00,360785.00,,,,3428.24
Rice,Indonesia,2011,11653000.00,58259000.00,49995.00,877.00,803.00,837.00,2745281.00,1513164.00,,,,3485.61
Rice,Indonesia,2012,11591000.00,59705000.00,51510.00,876.00,825.00,1186.00,1802050.00,945623.00,,,,3424.71
Rice,Indonesia,2013,11631000.00,60095000.00,51668.00,739.00,1269.00,1193.00,472239.00,246002.00,,,,3291.06
Rice,Indonesia,2014,11473000.00,59059000.00,51477.00,700.00,486.00,760.00,843676.00,388178.00,,,,3212.37
Rice,Indonesia,2015,11389000.00,61031000.00,53588.00,689.00,499.00,630.00,861106.00,351602.00,,,,3444.89
Rice,Indonesia,2016,10600000.00,54031000.00,50973.00,703.00,897.00,864.00,1282427.00,531842.00,,,,3718.10
Rice,Indonesia,2017,10900000.00,55252000.00,50690.00,385.00,1818.00,3254.00,379645.00,197295.00,,,,3786.37
Rice,Indonesia,2018,11377934.00,59200534.00,52031.00,365.00,3211.00,1487.00,2253745.00,1037128.00,,,,4025.03
Rice,Indonesia,2019,10677887.00,54604033.00,51137.00,371.00,1116.00,700.00,495646.00,184254.00,,,,3790.25
Rice,Indonesia,2020,10657275.00,54649202.24,51279.00,356.00,352.00,1012.00,356277.00,195409.00,,,,4217.18
Rice,Indonesia,2021,10411801.00,54415294.22,52263.00,335.00,3246.00,2606.00,407726.00,183802.00,,,,
Rice,Indonesia,2022,10452672.00,54748977.08,52378.00,350.00,2923.00,1957.00,429205.00,202042.00,,,,
Rice,Indonesia,2023,,,,,,,,,1996.28,174.07,2171.14,
Rice,LaoPeople'sDemocraticRepublic,1961,620000.00,540000.00,8710.00,,,,88200.00,8540.00,2041.32,179.80,2221.62,
Rice,LaoPeople'sDemocraticRepublic,1962,590000.00,510000.00,8644.00,,,,112021.00,11523.00,2087.61,185.74,2273.22,
Rice,LaoPeople'sDemocraticRepublic,1963,600000.00,520000.00,8667.00,,,,126000.00,14320.00,2135.24,191.90,2325.51,
Rice,LaoPeople'sDemocraticRepublic,1964,916000.00,735000.00,8024.00,,,,130000.00,12000.00,2184.30,198.30,2379.46,
Rice,LaoPeople'sDemocraticRepublic,1965,916000.00,740000.00,8079.00,,,,91001.00,8570.00,2234.30,204.89,2434.86,
Rice,LaoPeople'sDemocraticRepublic,1966,930000.00,754000.00,8108.00,,,,73360.00,8810.00,2279.88,217.04,2491.93,
